retired_at,baseline,release,generation,reason,detail,pair_id,work_id,doi_r,original_rank,doi_o,title_o,link_method,superseded_by,doi_o_now
2026-09-24T15:22:47+00:00,"ad0750a,d7f55d9,HEAD",c048ab6483d37c33a06668963b725800c898a7f749c3a6086dfe4087c73c29af,765e053cd24611e5,set_aside,prospective_registration.csv,003fcae3e25df0e6c8d11934c7ac15ce,6925536285,10.17605/osf.io/thnmu,1,10.1037/0096-1523.31.5.880,"Tool use affects perceived distance, but only when you intend to use it",llm_title_search,,
2026-09-24T15:22:47+00:00,"ad0750a,d7f55d9,HEAD",c048ab6483d37c33a06668963b725800c898a7f749c3a6086dfe4087c73c29af,765e053cd24611e5,set_aside,target_pending.csv,00680589c2df4d065f5d5b76105070e8,2136531212,10.1037/h0023400,2,10.1037/h0047445,Personality differences between students who do and do not use a counseling facility.,llm_references,,
2026-09-24T15:22:47+00:00,"ad0750a,d7f55d9,HEAD",c048ab6483d37c33a06668963b725800c898a7f749c3a6086dfe4087c73c29af,765e053cd24611e5,set_aside,target_pending.csv,00817c05e11da2e5d4db08cb241ad461,7125391338,10.1080/0092623x.2026.2617372,1,10.1080/0092623x.2025.2556454,The Dependency-Resentment Hypothesis: Beyond North America and Europe,llm_references,,
2026-09-24T15:22:47+00:00,"ad0750a,d7f55d9,HEAD",c048ab6483d37c33a06668963b725800c898a7f749c3a6086dfe4087c73c29af,765e053cd24611e5,set_aside,prospective_registration.csv,00b3e56229b037cf924c8089e616220a,2270089731,10.48550/arxiv.1504.07713,1,10.1109/scam.2008.14,Is Cloned Code More Stable than Non-cloned Code?,llm_references,,
2026-09-24T15:22:47+00:00,"ad0750a,d7f55d9,HEAD",c048ab6483d37c33a06668963b725800c898a7f749c3a6086dfe4087c73c29af,765e053cd24611e5,set_aside,target_pending.csv,01910400de63e60a40895356c47994e0,7165188315,10.1111/ajsp.70099,2,10.1111/ajsp.12128,Influence of social context on the relationship between guilt and prosocial behaviour,llm_references,,
2026-09-24T15:22:47+00:00,"ad0750a,d7f55d9,HEAD",c048ab6483d37c33a06668963b725800c898a7f749c3a6086dfe4087c73c29af,765e053cd24611e5,set_aside,prospective_registration.csv,01fdd6d4c845673cdf5661bf11c6779b,6925172264,10.17605/osf.io/fphzm,2,10.1111/j.1467-6494.2005.00317.x,Do People Know How Their Personality Has Changed? Correlates of Perceived and Actual Personality Change in Young Adulthood,llm_author_year_search,,
2026-09-24T15:22:47+00:00,"ad0750a,d7f55d9,HEAD",c048ab6483d37c33a06668963b725800c898a7f749c3a6086dfe4087c73c29af,765e053cd24611e5,superseded,,022b0efd8e0089dc95e08f787fa2c1dc,4416787517,10.1007/s00426-025-02211-3,1,10.3758/s13414-021-02267-4,A visual search advantage for illusory faces in objects,llm_references,9eafd157803b873e9fbe0e0a7f3a7bb8,10.1016/j.cognition.2007.07.012
2026-09-24T15:22:47+00:00,"ad0750a,d7f55d9,HEAD",c048ab6483d37c33a06668963b725800c898a7f749c3a6086dfe4087c73c29af,765e053cd24611e5,set_aside,unidentified_original.csv,024806ff6171a45b1ef88b884bd1ac05,7043021100,,1,10.1596/1813-9450-9982,"Immigration, Labor Markets and Discrimination: Evidence from the Venezuelan Exodus in Perú",llm_title_search,,
2026-09-24T15:22:47+00:00,"ad0750a,d7f55d9,HEAD",c048ab6483d37c33a06668963b725800c898a7f749c3a6086dfe4087c73c29af,765e053cd24611e5,set_aside,prospective_registration.csv,0286bf8e659a59fbca02d3e616fa0645,7024430175,,1,10.1037/e683322011-018,"Money, kisses, and electric shocks: On the affective psychology of risk",llm_title_search,,
2026-09-24T15:22:47+00:00,"ad0750a,d7f55d9,HEAD",c048ab6483d37c33a06668963b725800c898a7f749c3a6086dfe4087c73c29af,765e053cd24611e5,set_aside,prospective_registration.csv,044a7f5380c392b6c228e93f948f5ca5,6962351330,10.17605/osf.io/zx5jf,1,10.1515/zfsoz-2013-0203,"Transnational human capital, education, and social inequality: Analyses of international student exchange",llm_title_search,,
