work_id,doi,record_id
1574496118,10.57709/1061138,002cec4a-7b9f-487d-a3b7-c9f6380e8cf3
3097130474,10.17705/1atrr.00061,0030b8ad-71f6-4379-a5fa-f7a6e5fa7986
2149913592,10.1109/ipdps.2008.4536211,003f7390-dc41-4ca6-8845-3bfced987d23
2483141328,10.3765/exabs.v0i0.603,006c20c6-db8d-4bd1-9b37-441cd9cbad68
4410804354,10.54014/jzqs-dcv5,0071aa3d-82a0-425f-8f0c-60f03f246c89
2580267612,10.1111/jpr.12145,0082c37a-1d48-4c60-9722-bb7ae87f5476
2133554562,10.1177/193758671400700206,008c1eed-3f3a-460b-96ff-64e9df289ee5
4214805732,10.31234/osf.io/ndjzf,00c9cf6b-c4d9-4c3d-aaa5-99aa436a7cfc
2135634556,10.1400/122908,01280863-6930-4bd1-93c7-924503d2869f
3088599983,10.3389/fpsyg.2020.565128,012b4426-7ea7-45bb-8094-85b9f1aacb86
4400208915,10.1111/1460-6984.13086,0147a292-b51e-4c02-88c8-43825eb85aed
4393465917,10.5281/zenodo.1432661,0158f148-1ca7-4b09-92da-c4db9659b3ce
2484769488,10.1016/s1474-7979(00)03027-1,0189760a-9c9e-47f9-86f7-9bf1fdc69b58
4410017028,10.1098/rsos.250508,018ea55b-64ea-4407-9b3f-203703fb66f2
2162343584,10.1002/jae.2462,01b4faae-5c48-40fa-bf99-eaa1184e2a29
2160676743,10.1080/13506280802102541,01b75b01-3be5-4d72-9105-38e099b894df
3180653876,10.31234/osf.io/fs3nd,01edec43-650f-4149-b373-617d65d12d6b
4231873985,10.31234/osf.io/u469j,01f8af27-3d69-4efa-81ad-910e9b4c302a
2398085995,10.1017/s1366728916000651,020b0724-670c-40d9-92e4-a27df177fe87
2097972016,10.1080/10508414.2010.487027,021316a6-b7e9-43ab-a055-87e3c5f98c60
2015789154,10.1080/00207148908414475,02442c65-c60e-4c04-97ea-a056aad780b9
3161507947,10.31234/osf.io/9hkbq,024ac1e4-398c-4206-a33a-651c8040db15
3169289933,10.1027/1864-9335/a000448,027b3c64-6eee-4df7-9c9e-993ce07e80ca
2230374842,10.24382/0t1m-dq74,02cb4fcd-a366-431f-be0e-514b97316164
2168763827,10.1111/j.1559-1816.1993.tb01042.x,02f0fe59-d249-489d-b205-cd0d53552111
,10.1177/0956797614558717,030f9364-1987-4f1e-9eba-adb193e17103
2156786129,10.1109/tsa.2004.825672,0358eed7-006c-4f91-b594-a627687c0c91
2317336701,10.1558/cj.v32i2.25139,03c2b214-4f92-4752-8613-665d1abbb2b8
1978787833,10.1080/00207543.2012.748225,040f5585-2c5d-4eee-971c-474205fa68cd
2017540234,10.1080/15267430902963342,042550e9-b15d-4533-8964-d2db90ddf2ec
